recipe_id,recipe_name,source_file,best_time_of_day,meal_type,veg_nonveg,weight_loss_friendly,energy_kcal,protein_g,carbs_g,fat_g,servings,ingredients_raw,prep_time_min,cooking_method,high_protein,low_oil,low_sugar
1,"Green detox water","Weight-Loss-Recipes.pdf","morning","beverage","veg",1,10,0,2,0,1,"Cucumber: 50g, Mint: 10g, Lemon: 1, Water: 500ml","10","infuse",0,1,1
2,"Apple cider vinegar drink","Weight-Loss-Recipes.pdf","morning","beverage","veg",1,15,0,3,0,1,"Apple cider vinegar: 15ml, Water: 250ml, Honey: 5g, Cinnamon: pinch","5","mix",0,1,0
3,"Green tea with ginger","Weight-Loss-Recipes.pdf","afternoon","beverage","veg",1,5,0,1,0,1,"Green tea: 1 bag, Ginger: 5g, Water: 200ml","5","steep",0,1,1
4,"Cucumber hummus","Weight-Loss-Recipes.pdf","evening","snack","veg",1,80,4,8,4,1,"Chickpeas: 40g, Cucumber: 100g, Lemon: 1 tsp, Tahini: 5g","10","blend",0,1,1
5,"Roasted chickpeas","Weight-Loss-Recipes.pdf","evening","snack","veg",1,100,5,15,2,1,"Chickpeas: 40g, Spices: 3g, Oil spray: 1g","25","roast",1,1,1
6,"Vegetable sticks with yogurt dip","Weight-Loss-Recipes.pdf","afternoon","snack","veg",1,60,4,8,2,1,"Carrot: 50g, Cucumber: 50g, Greek yogurt: 50g, Herbs: 3g","5","no_cook",0,1,1
7,"Protein smoothie","Weight-Loss-Recipes.pdf","morning","beverage","veg",1,120,15,8,2,1,"Protein powder: 20g, Spinach: 30g, Berries: 50g, Water: 200ml","5","blend",1,1,1
8,"Vegetable oats","Weight-Loss-Recipes.pdf","morning","breakfast","veg",1,140,6,22,3,1,"Oats: 40g, Mixed vegetables: 100g, Water: 300ml, Spices: 3g","15","boil",0,1,1
9,"Egg white vegetable omelet","Weight-Loss-Recipes.pdf","morning","breakfast","egg",1,90,12,4,2,1,"Egg whites: 4, Vegetables: 80g, Oil spray: 1g, Herbs: 3g","10","tawa",1,1,1
10,"Quinoa vegetable bowl","Weight-Loss-Recipes.pdf","morning","breakfast","veg",1,160,6,28,3,1,"Quinoa: 40g, Vegetables: 120g, Lemon: 1 tsp, Herbs: 5g","20","boil",0,1,1
11,"Kale and apple salad","Weight-Loss-Recipes.pdf","afternoon","salad","veg",1,90,3,15,3,1,"Kale: 100g, Apple: 80g, Walnuts: 5g, Lemon: 1 tsp","10","no_cook",0,1,1
12,"Grilled chicken salad","Weight-Loss-Recipes.pdf","afternoon","salad","non_veg",1,180,25,8,6,1,"Chicken breast: 80g, Mixed greens: 150g, Olive oil: 5g","15","grill",1,1,1
