recipe_id,recipe_name,source_file,best_time_of_day,meal_type,veg_nonveg,pcos_friendly,energy_kcal,protein_g,carbs_g,fat_g,servings,ingredients_raw,prep_time_min,cooking_method,high_protein,low_oil,low_sugar
1,"Mint mojito","PCOS-Recipes-1.pdf","afternoon","beverage","veg",1,0,0,NULL,NULL,1,"Mint leaves: 5-10 leaves, Water- 250 ml, Lemon juice- 1 tea spoon, Salt- 1 teaspoon, Sabja- 1 teaspoon","5","mix",0,1,1
2,"Nutritious Buttermilk","PCOS-Recipes-1.pdf","afternoon","beverage","veg",1,23,1,1.4,1.5,1,"Curd- 15g, Water- 250 ml, Black Salt- as per taste, Black pepper- as per taste, Pudina paste- 1 teaspoon, Flax seeds- 1/2 teaspoon (2.5-3 gms)","5","mix",0,1,1
3,"Red lemonade","PCOS-Recipes-1.pdf","afternoon","beverage","veg",1,15,0,3.8,0,1,"Water- 250 ml, Lemon juice- 1 teaspoon, Mint leaves- 5 leaves, Sabza- 1 tea spoon, Watermelon cubes/balls- 50g","5","mix",0,1,1
4,"Masala Khakra","PCOS-Recipes-1.pdf","evening","snack","veg",1,100,4,13,2.6,1,"High Protein Khakra: 1, Tomato: 25g, Onion: 25g, Capsicum: 25g, Chaat masala: 5g","5","no_cook",0,1,1
5,"Roasted oats and poha mixture","PCOS-Recipes-1.pdf","evening","snack","veg",1,140,4.2,23,3.8,1,"Oats flakes: 15g, Poha flakes: 15g, Peanut: 5g, Oil: 1g, Salt: 1 tsp","10","roast",0,0,1
6,"Hummus wrap","PCOS-Recipes-1.pdf","evening","snack","veg",1,150,5.4,29.6,2.2,1,"Hummus: 1 tbsp, For roti: 30g dry flour (Jowar + Bajra + Besan), Tomato: 25g, Onion: 25g, Capsicum: 25g, Spices of your choice","15","tawa",0,1,1
7,"Multi Seed and Nut bar","PCOS-Recipes-1.pdf","morning","snack","veg",1,150,4,17,9.1,1,"Pumpkin seeds: 3g, Flax seeds: 3g, Ragi: 10g, Almond: 5g, Walnut: 5g, Dates paste: 1 tablespoon","10","refrigerate",0,1,0
8,"Paneer Tikka Roll","PCOS-Recipes-1.pdf","evening","snack","veg",1,150,6,21,3,1,"Paneer: 15g, Roti- 20g dry flour (Jowar + Bajra + Besan), Tomato: 25g, Onion: 25g, Capsicum: 25g, Tomato chutney: 1 tsp, Spices of your choice","20","tawa",1,1,1
9,"Multi flour baked cracker","PCOS-Recipes-1.pdf","evening","snack","veg",1,150,3.2,22,6,1,"Besan: 10g, Bajra: 10g, Khapli Wheat: 10g, Sesame Seeds: 5g, Oil: 3g, Spices of your choice","20","bake",0,0,1
10,"Spinach pancake","PCOS-Recipes-1.pdf","morning","breakfast","veg",1,155,8,25,4,1,"Spinach: 150g, Besan flour: 30g, Oil: 2g, Spices as per taste","15","tawa",1,1,1
