recipe_id,recipe_name,source_file,best_time_of_day,meal_type,veg_nonveg,anemia_friendly,energy_kcal,protein_g,carbs_g,fat_g,servings,ingredients_raw,prep_time_min,cooking_method,high_protein,low_oil,low_sugar
1,"Iron-rich smoothie","Anemia-Recipes.pdf","morning","beverage","veg",1,180,6,25,5,1,"Spinach: 50g, Dates: 20g, Almond milk: 200ml, Banana: 50g","5","blend",0,1,0
2,"Beetroot juice","Anemia-Recipes.pdf","morning","beverage","veg",1,70,2,16,0,1,"Beetroot: 150g, Carrot: 50g, Ginger: 5g, Lemon: 1 tsp","10","juice",0,1,1
3,"Pomegranate juice","Anemia-Recipes.pdf","afternoon","beverage","veg",1,120,2,28,0,1,"Pomegranate: 200g, Mint: 5g, Black salt: pinch","10","juice",0,1,1
4,"Iron-rich trail mix","Anemia-Recipes.pdf","evening","snack","veg",1,160,6,12,10,1,"Almonds: 10g, Raisins: 15g, Pumpkin seeds: 10g, Dark chocolate: 5g","5","mix",0,1,0
5,"Sesame seed laddu","Anemia-Recipes.pdf","evening","snack","veg",1,140,5,8,10,1,"Sesame seeds: 20g, Jaggery: 15g, Ghee: 3g, Cardamom: pinch","15","roast_mix",0,0,0
6,"Liver pate sandwich","Anemia-Recipes.pdf","afternoon","snack","non_veg",1,220,18,15,10,1,"Chicken liver: 60g, Whole grain bread: 2 slices, Herbs: 5g","20","saute",1,1,1
7,"Spinach and date smoothie","Anemia-Recipes.pdf","morning","beverage","veg",1,160,4,22,6,1,"Spinach: 60g, Dates: 25g, Cashews: 10g, Water: 200ml","5","blend",0,1,0
8,"Quinoa spinach porridge","Anemia-Recipes.pdf","morning","breakfast","veg",1,200,8,32,5,1,"Quinoa: 40g, Spinach: 80g, Milk: 150ml, Almonds: 8g","25","boil",1,1,1
9,"Ragi dosa","Anemia-Recipes.pdf","morning","breakfast","veg",1,180,6,30,4,1,"Ragi flour: 50g, Urad dal: 15g, Fenugreek: 2g, Oil: 3g","480","ferment_tawa",0,1,1
10,"Egg yolk curry","Anemia-Recipes.pdf","morning","breakfast","egg",1,200,14,5,14,1,"Eggs: 2, Spinach: 100g, Onion: 30g, Oil: 5g, Spices: 5g","15","curry",1,0,1
11,"Lentil and spinach salad","Anemia-Recipes.pdf","afternoon","salad","veg",1,190,12,25,4,1,"Black lentils: 60g, Spinach: 100g, Tomato: 50g, Lemon: 1 tsp","30","boil",1,1,1
12,"Mutton curry","Anemia-Recipes.pdf","afternoon","main_course","non_veg",1,280,25,8,18,1,"Mutton: 100g, Onion: 50g, Spices: 10g, Oil: 8g","60","pressure",1,0,1
13,"Palak paneer","Anemia-Recipes.pdf","evening","main_course","veg",1,180,12,8,12,1,"Spinach: 150g, Paneer: 60g, Onion: 30g, Oil: 5g","20","saute",1,1,1
