recipe_name,meal_type,diet_type,cuisine_type,calories_per_serving,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,ingredients,instructions,prep_time_min,cook_time_min,total_time_min,servings,age_group,activity_level,weight_goal,difficulty_level,youtube_search_query
Ragi Semiya Upma,breakfast,Vegetarian,South Indian,320,12,45,8,6,4,420,"Ragi vermicelli,onion,green chillies,curry leaves","Steam vermicelli|Temper spices|Mix and serve",15,20,35,2,adult,moderate,maintain,easy,"Ragi Semiya Upma Hebbars Kitchen"
Vegetable Poha,breakfast,Vegetarian,Indian,210,5,32,6,4,2,350,"Poha,onion,peas,peanuts,turmeric","Wash poha|Temper spices|Mix gently",10,15,25,2,adult,light,weight_loss,easy,"Vegetable Poha Hebbars Kitchen"
Oats Porridge,breakfast,Vegetarian,Continental,240,8,34,6,5,7,180,"Oats,milk,banana,honey","Boil oats|Add fruits|Sweeten lightly",5,10,15,1,adult,light,weight_loss,easy,"Oats Porridge Healthy Recipe"
Dal Makhani,lunch,Vegetarian,North Indian,390,18,36,17,8,5,620,"Black lentils,rajma,butter,tomato","Pressure cook lentils|Slow simmer",20,50,70,3,adult,moderate,maintain,medium,"Dal Makhani Restaurant Style"
Quinoa Salad,lunch,Vegetarian,Continental,310,12,44,8,6,4,300,"Quinoa,cucumber,tomato,olive oil","Cook quinoa|Mix vegetables",15,15,30,2,adult,light,weight_loss,easy,"Quinoa Salad Healthy Recipe"
Vegetable Stir Fry,lunch,Vegetarian,Chinese,180,6,25,6,5,4,260,"Mixed vegetables,soy sauce,garlic","Stir fry vegetables|Season lightly",10,10,20,2,adult,light,weight_loss,easy,"Vegetable Stir Fry Recipe"
Palak Paneer,dinner,Vegetarian,North Indian,290,14,12,20,6,4,460,"Spinach,paneer,onion,garlic","Prepare spinach puree|Add paneer",20,25,45,3,adult,moderate,mild_loss,medium,"Palak Paneer Restaurant Style"
Vegetable Soup,dinner,Vegetarian,Continental,130,4,18,3,4,3,240,"Vegetables,stock,herbs","Boil vegetables|Season lightly",10,20,30,2,adult,light,extreme_loss,easy,"Vegetable Soup Weight Loss"
Masala Idli,morning_snack,Vegetarian,South Indian,180,6,28,5,3,2,350,"Idli,onion,spices","Toss idli with spices",10,15,25,2,adult,light,weight_loss,easy,"Masala Idli Recipe"
Fruit Salad,morning_snack,Vegetarian,Continental,90,1,22,0,3,14,20,"Apple,banana,orange","Chop fruits|Mix and serve",10,0,10,2,adult,light,extreme_loss,easy,"Fresh Fruit Salad Healthy"
Scrambled Eggs,breakfast,Non-Vegetarian,Continental,190,15,2,13,0,1,300,"Eggs,butter,salt,pepper","Beat eggs|Cook slowly|Serve hot",5,8,13,1,adult,active,maintain,easy,"Scrambled Eggs Recipe"
Chicken Sandwich,breakfast,Non-Vegetarian,Continental,380,28,32,14,3,4,520,"Chicken breast,bread,lettuce,tomato","Grill chicken|Assemble sandwich",15,10,25,1,adult,active,mild_loss,easy,"Grilled Chicken Sandwich Recipe"
Chicken Biryani,lunch,Non-Vegetarian,Hyderabadi,520,28,65,18,2,4,720,"Chicken,basmati rice,yogurt,spices","Marinate chicken|Dum cook biryani",40,60,100,4,adult,active,maintain,hard,"Hyderabadi Chicken Biryani Recipe"
Grilled Fish,lunch,Non-Vegetarian,Continental,290,40,0,12,0,0,420,"Fish fillet,lemon,olive oil,herbs","Marinate fish|Grill both sides",15,10,25,2,adult,active,weight_loss,easy,"Grilled Fish Healthy Recipe"
Egg Curry,lunch,Non-Vegetarian,Indian,280,16,8,20,2,4,480,"Eggs,onion,tomato,spices","Boil eggs|Prepare curry|Simmer",15,25,40,3,adult,active,maintain,medium,"Egg Curry Indian Recipe"
Grilled Chicken Salad,dinner,Non-Vegetarian,Continental,320,35,8,16,4,4,420,"Chicken breast,lettuce,cucumber","Grill chicken|Assemble salad",15,12,27,2,adult,active,weight_loss,easy,"Grilled Chicken Salad Healthy"
Fish Curry,dinner,Non-Vegetarian,South Indian,360,30,8,22,1,3,560,"Fish,coconut milk,spices","Prepare curry base|Cook fish gently",15,20,35,3,adult,active,maintain,medium,"South Indian Fish Curry Recipe"
Chicken Tikka,afternoon_snack,Non-Vegetarian,Indian,270,32,4,14,0,2,520,"Chicken,yogurt,spices","Marinate chicken|Grill till done",30,15,45,3,adult,active,mild_loss,medium,"Chicken Tikka Healthy Recipe"
Boiled Eggs,morning_snack,Non-Vegetarian,Continental,140,12,1,10,0,0,260,"Eggs","Boil eggs|Peel and serve",2,10,12,2,adult,active,maintain,easy,"Boiled Eggs Perfect Method"
Chicken Wrap,afternoon_snack,Non-Vegetarian,Continental,340,28,26,14,3,2,540,"Chicken,tortilla,vegetables","Cook chicken|Assemble wrap",20,15,35,2,adult,active,mild_loss,easy,"Chicken Wrap Healthy Recipe"
